Distance1,Distance2,Distance3,Distance4,Distance5,Distance6,Distance7,Distance8,Distance9,Distance10
5.45,2.55,8.0,2.1,6.65,1.5,8.0,0.85,8.0,0.05
5.45,2.55,8.0,2.1,6.65,1.5,8.0,0.85,8.0,0.05
5.25,2.7,8.0,2.2,6.65,1.65,8.0,0.95,8.0,0.1
5.05,6.85,8.0,2.4,6.35,1.8,8.0,1.1,8.0,0.2
4.75,7.5,8.0,2.65,6.1,2.0,8.0,1.3,8.0,0.4
4.55,7.6,8.0,2.8,5.95,2.2,8.0,1.5,7.75,0.5
4.35,7.75,8.0,2.95,5.9,2.35,8.0,1.65,8.0,0.7
4.2,7.5,8.0,3.05,5.85,2.45,8.0,1.75,0.8,0.9
4.3,7.5,8.0,2.95,5.85,2.4,8.0,1.7,7.65,0.75
4.4,7.75,8.0,7.95,5.85,2.3,8.0,1.6,7.95,0.7
4.45,3.35,8.0,2.85,4.8,2.2,8.0,1.55,7.95,0.6
4.55,3.3,8.0,2.75,5.8,2.15,8.0,1.45,8.0,0.6
4.6,3.25,8.0,2.75,5.95,2.1,8.0,1.4,0.35,0.55
4.6,3.25,8.0,2.75,5.95,2.1,8.0,1.4,5.05,0.4
4.6,3.3,8.0,2.75,5.95,2.15,8.0,1.45,4.95,0.45
4.55,3.35,8.0,2.85,4.65,2.25,8.0,1.5,0.55,0.55
4.5,7.5,8.0,3.0,5.9,2.35,8.0,1.6,4.7,0.65
4.4,3.7,8.0,3.15,5.9,2.55,8.0,1.8,8.0,0.65
4.35,3.95,8.0,3.4,5.9,2.8,8.0,2.05,8.0,1.05
4.2,4.2,8.0,3.7,5.45,3.1,8.0,2.3,8.0,1.45
0.0,0.0,0.0,0.0,5.5,5.3,8.0,5.25,7.75,4.65
0.0,0.0,0.0,0.0,5.5,5.3,8.0,5.25,7.75,4.65
4.0,6.25,8.0,4.25,5.3,3.6,8.0,2.9,7.8,2.05
3.95,6.35,8.0,4.35,6.0,3.75,8.0,3.05,7.8,2.25
3.9,6.4,8.0,4.45,5.3,3.85,8.0,3.15,7.85,2.35
3.9,6.45,8.0,4.55,5.2,3.95,8.0,3.3,7.85,2.5
3.85,7.95,8.0,4.65,5.2,4.05,8.0,3.4,7.9,2.6
3.85,6.5,8.0,4.75,5.15,4.15,8.0,3.45,7.9,2.65
3.8,6.55,8.0,4.8,5.3,4.2,8.0,3.5,8.0,2.75
3.75,6.6,8.0,4.85,5.7,4.25,8.0,3.55,8.0,2.8
3.7,7.95,8.0,4.9,5.7,4.3,8.0,3.65,8.0,2.85
3.65,7.95,8.0,5.0,6.55,4.4,8.0,3.7,8.0,2.9
3.55,7.95,8.0,5.1,4.95,4.5,8.0,3.8,8.0,3.0
3.5,7.95,8.0,5.15,5.35,4.55,8.0,3.85,4.75,3.05
0.0,0.0,0.0,0.0,5.75,4.75,8.0,4.85,8.0,4.6
3.35,7.95,8.0,5.45,5.7,4.8,8.0,4.05,8.0,3.2
3.25,7.35,8.0,5.55,5.7,4.9,8.0,4.15,8.0,3.3
3.25,7.15,8.0,5.6,5.7,4.95,8.0,4.2,8.0,3.3
3.25,7.0,8.0,5.6,5.7,4.95,8.0,4.15,8.0,3.3
3.25,7.0,8.0,5.6,5.65,4.95,8.0,4.15,7.9,3.2
3.25,6.85,8.0,5.6,5.65,4.95,8.0,4.1,7.9,3.05
3.35,6.15,8.0,5.5,4.55,4.8,8.0,3.9,7.9,7.85
3.35,6.05,8.0,5.45,5.65,4.7,8.0,3.85,7.9,7.8
3.3,6.05,8.0,5.45,4.55,4.7,8.0,3.9,7.85,7.8
3.2,6.1,8.0,5.5,5.65,4.8,8.0,4.0,7.85,3.0
3.1,2.7,8.0,3.35,5.65,2.8,8.0,1.35,7.85,3.55
2.95,2.55,8.0,3.1,6.0,2.95,8.0,1.8,7.85,3.9
2.85,7.4,8.0,5.75,5.6,5.15,8.0,4.4,7.85,3.55
2.75,7.4,8.0,5.85,5.65,5.25,8.0,4.55,7.85,3.7
2.75,7.35,8.0,5.85,5.65,5.25,8.0,4.55,7.85,3.7
2.75,7.1,8.0,5.75,5.65,5.15,8.0,4.45,8.0,3.65
2.75,7.15,8.0,5.75,5.6,5.2,8.0,4.5,8.0,3.7
2.75,7.35,8.0,5.9,5.6,5.3,8.0,4.65,7.85,3.85
2.35,7.3,8.0,6.1,5.6,5.55,3.05,4.9,1.6,4.05
2.25,2.15,8.0,2.8,4.65,3.35,8.0,2.75,8.0,1.2
2.7,1.95,8.0,2.6,5.65,3.05,8.0,2.85,7.85,1.9
1.75,1.75,8.0,2.35,5.65,2.9,8.0,2.85,7.9,1.95
2.7,1.35,8.0,1.95,5.7,2.55,8.0,2.9,8.0,2.15
2.75,0.9,8.0,1.6,4.75,2.25,8.0,2.85,8.0,2.3
2.55,0.7,8.0,1.4,4.75,2.1,8.0,2.55,8.0,2.35
2.6,0.55,8.0,1.3,5.75,1.95,8.0,2.5,7.9,2.45
2.6,0.55,8.0,1.25,4.75,1.9,8.0,2.45,3.35,2.5
2.6,0.55,8.0,1.25,5.85,1.9,8.0,2.45,3.35,2.45
2.6,0.6,8.0,1.35,5.0,1.95,8.0,2.45,3.4,2.35
0.9,0.8,8.0,1.5,7.7,2.1,8.0,2.55,7.6,2.3
0.9,0.8,8.0,1.5,7.7,2.1,8.0,2.55,7.6,2.3
2.75,1.0,8.0,1.7,7.7,2.3,3.15,2.75,8.0,2.4
1.85,1.5,8.0,2.2,7.55,2.8,7.55,7.25,4.05,2.95
2.6,1.6,8.0,2.25,7.5,2.85,8.0,3.25,8.0,3.05
2.65,1.6,8.0,2.25,7.7,2.8,7.9,3.2,8.0,3.0
2.75,1.55,7.8,2.2,7.5,2.75,8.0,3.15,8.0,3.0
2.8,1.55,7.8,2.2,8.0,2.75,8.0,3.15,8.0,3.0
2.8,1.6,7.8,2.2,7.75,2.75,8.0,3.2,8.0,3.05
2.65,1.65,7.8,2.25,7.45,2.8,8.0,3.6,8.0,3.2
1.85,1.75,7.8,2.35,7.5,2.9,8.0,3.35,8.0,3.35
2.8,1.85,7.85,2.45,7.5,2.95,8.0,3.45,8.0,3.5
2.8,1.95,8.0,2.55,6.55,3.1,8.0,3.55,8.0,3.85
2.75,2.1,8.0,2.7,7.75,3.2,8.0,3.7,8.0,3.9
2.75,2.15,8.0,2.8,7.55,3.3,8.0,3.75,8.0,4.15
2.75,2.2,8.0,2.8,7.55,3.3,7.9,3.75,8.0,4.0
2.75,2.15,8.0,2.75,6.35,3.25,8.0,3.7,8.0,4.05
2.75,2.1,8.0,2.65,6.7,3.2,8.0,3.65,8.0,7.75
2.8,2.05,8.0,2.6,6.65,3.15,8.0,3.6,8.0,3.95
2.35,2.0,8.0,2.55,6.45,3.1,8.0,3.55,8.0,3.95
2.05,1.95,8.0,2.55,7.75,3.05,8.0,3.5,8.0,3.95
2.05,1.95,8.0,2.55,7.75,3.05,8.0,3.5,8.0,3.95
2.8,1.95,8.0,2.5,6.75,3.05,3.55,3.5,7.8,3.9
2.25,1.9,8.0,2.45,6.8,3.0,7.65,3.45,8.0,3.85
2.2,1.8,7.8,2.35,6.75,2.9,3.4,3.35,8.0,3.8
2.85,1.75,8.0,2.25,6.8,2.8,8.0,3.3,8.0,3.7
2.9,1.7,7.9,2.25,7.65,2.8,8.0,3.25,7.85,3.7
1.8,1.7,7.9,2.25,6.75,2.8,8.0,3.25,7.85,3.7
1.8,1.75,7.9,2.3,6.75,2.85,8.0,3.3,7.85,3.7
2.3,1.75,8.0,2.3,6.8,2.85,8.0,3.3,7.9,3.75
2.9,1.75,7.9,2.3,6.8,2.85,8.0,3.3,7.9,3.7
2.35,1.7,7.9,2.25,7.65,2.8,8.0,3.25,7.9,3.65
2.3,1.7,8.0,2.2,7.85,2.7,8.0,3.15,7.9,3.55
2.9,1.6,7.9,2.15,7.9,2.65,8.0,3.05,7.9,3.45
2.85,1.5,8.0,2.05,7.9,2.55,7.85,3.0,8.0,3.55
2.85,1.45,8.0,2.0,7.9,2.5,7.85,2.9,7.5,3.4
1.9,1.4,7.95,1.95,6.7,2.4,7.85,2.85,7.6,3.5
2.85,1.35,7.95,1.85,6.75,2.35,8.0,2.75,8.0,3.45
2.8,1.3,7.85,1.85,7.7,2.3,8.0,2.75,8.0,3.0
2.8,1.25,7.85,1.8,6.5,2.3,7.9,2.75,8.0,3.4
1.9,1.3,7.95,1.85,6.5,2.3,2.8,2.75,8.0,3.2
1.9,1.3,8.0,1.9,6.5,2.35,7.95,2.8,7.8,3.1
2.8,1.35,8.0,1.95,6.5,2.4,8.0,2.85,4.35,3.2
1.5,1.45,8.0,2.0,5.15,2.5,8.0,2.95,7.9,3.3
2.9,1.5,8.0,2.05,5.15,2.55,8.0,3.0,8.0,3.4
2.9,1.5,8.0,2.05,5.15,2.55,8.0,3.0,8.0,3.4
2.9,1.5,8.0,2.05,5.25,2.6,8.0,3.0,8.0,3.4
2.95,1.55,8.0,2.1,6.05,2.65,8.0,3.1,8.0,3.45
3.0,1.5,8.0,2.1,5.05,2.6,8.0,3.05,8.0,3.4
3.05,1.4,8.0,2.0,5.0,2.5,8.0,2.95,7.9,3.4
3.1,1.3,5.95,1.85,5.15,2.3,8.0,2.75,8.0,3.15
3.15,1.1,6.05,1.6,5.25,2.1,8.0,2.5,3.15,2.9
